transaction_id,parent,parent_type,child,child_type,rel_type,date,
transaction_id,parent,parent_type,child,child_type,rel_type,date,description
2412/08_tr_149,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Central Engineering Consultancy Bureau and its subsidiaries and affiliated companies,minister,minister,2024-11-25,
2412/08_tr_150,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Sri Lanka Mahaweli Authority,minister,minister,2024-11-25,
2412/08_tr_151,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Mahaweli Consultancy Bureau (Pvt) Ltd,minister,minister,2024-11-25,
2412/08_tr_152,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Department of Export Agriculture,minister,minister,2024-11-25,
2412/08_tr_153,Minister of Justice and National Integration,minister,Attorney General’s Department,minister,minister,2024-11-25,
2412/08_tr_154,Minister of Justice and National Integration,minister,Legal Draftsman’s Department,minister,minister,2024-11-25,
2412/08_tr_155,Minister of Justice and National Integration,minister,Department of Debt Conciliation Board,minister,minister,2024-11-25,
2412/08_tr_156,Minister of Justice and National Integration,minister,Department of Government Analyst,minister,minister,2024-11-25,
2412/08_tr_157,Minister of Justice and National Integration,minister,Office of the Registrar of the Supreme Court,minister,minister,2024-11-25,
2412/08_tr_158,Minister of Justice and National Integration,minister,Law Commission of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_159,Minister of Justice and National Integration,minister,Superior Courts Complex Board of Management,minister,minister,2024-11-25,
2412/08_tr_160,Minister of Justice and National Integration,minister,Legal Aid Commission of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_161,Minister of Justice and National Integration,minister,Mediation Boards Commission,minister,minister,2024-11-25,
2412/08_tr_162,Minister of Justice and National Integration,minister,Council of Legal Education,minister,minister,2024-11-25,
2412/08_tr_163,Minister of Justice and National Integration,minister,Commercial Mediation Centre of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_164,Minister of Justice and National Integration,minister,Sri Lanka International Arbitration Centre (Guarantee) Ltd,minister,minister,2024-11-25,
2412/08_tr_165,Minister of Justice and National Integration,minister,National Authority for the Protection of Victims of Crime and Witnesses,minister,minister,2024-11-25,
2412/08_tr_166,Minister of Justice and National Integration,minister,Department of Prisons,minister,minister,2024-11-25,
2412/08_tr_167,Minister of Justice and National Integration,minister,Community Based Correction Department,minister,minister,2024-11-25,
2412/08_tr_168,Minister of Justice and National Integration,minister,Training Schools for Youthful Offenders,minister,minister,2024-11-25,
2412/08_tr_169,Minister of Justice and National Integration,minister,Rehabilitation Commissioner General’s Office,minister,minister,2024-11-25,
2412/08_tr_170,Minister of Justice and National Integration,minister,Department of Official Languages,minister,minister,2024-11-25,
2412/08_tr_171,Minister of Justice and National Integration,minister,Official Languages Commission,minister,minister,2024-11-25,
2412/08_tr_172,Minister of Justice and National Integration,minister,National Institute of Language Education and Training,minister,minister,2024-11-25,
2412/08_tr_173,Minister of Justice and National Integration,minister,Office for National Unity and Reconciliation,minister,minister,2024-11-25,
2412/08_tr_174,Minister of Justice and National Integration,minister,Office on Missing Persons,minister,minister,2024-11-25,
2412/08_tr_175,Minister of Justice and National Integration,minister,Office for Reparations,minister,minister,2024-11-25,
2412/08_tr_176,Minister of Justice and National Integration,minister,Sri Lanka Judges Institute,minister,minister,2024-11-25,
2412/08_tr_177,Minister of Justice and National Integration,minister,Non Judicial Officers Training Institute,minister,minister,2024-11-25,
2412/08_tr_178,Minister of Justice and National Integration,minister,Rehabilitation Commissioner General's Office,minister,minister,2024-11-25,
2412/08_tr_179,"Minister of Education, Higher Education and Vocational Education",minister,Department of Examinations,minister,minister,2024-11-25,
2412/08_tr_180,"Minister of Education, Higher Education and Vocational Education",minister,Department of Educational Publications,minister,minister,2024-11-25,
2412/08_tr_181,"Minister of Education, Higher Education and Vocational Education",minister,National Colleges of Education,minister,minister,2024-11-25,
2412/08_tr_182,"Minister of Education, Higher Education and Vocational Education",minister,Teachers’ College,minister,minister,2024-11-25,
2412/08_tr_183,"Minister of Education, Higher Education and Vocational Education",minister,UNESCO National Commission of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_184,"Minister of Education, Higher Education and Vocational Education",minister,Sri Lanka Publication Development Board,minister,minister,2024-11-25,
2412/08_tr_185,"Minister of Education, Higher Education and Vocational Education",minister,State Printing Corporation,minister,minister,2024-11-25,
2412/08_tr_186,"Minister of Education, Higher Education and Vocational Education",minister,Directorates of Education,minister,minister,2024-11-25,
2412/08_tr_187,"Minister of Education, Higher Education and Vocational Education",minister,National Education Commission,minister,minister,2024-11-25,
2412/08_tr_188,"Minister of Education, Higher Education and Vocational Education",minister,National Institute of Education,minister,minister,2024-11-25,
2412/08_tr_189,"Minister of Education, Higher Education and Vocational Education",minister,Piriven Education Board,minister,minister,2024-11-25,
2412/08_tr_190,"Minister of Education, Higher Education and Vocational Education",minister,National Institute of Business Management and affiliated institutions,minister,minister,2024-11-25,
2412/08_tr_191,"Minister of Education, Higher Education and Vocational Education",minister,Skills Development Fund Ltd,minister,minister,2024-11-25,
